A0A1B0GVM2	TCAF2C
A0A1B0GVQ0	SPAAR
A0A1B0GVT2	SMIM36
A0A1B0GVV1	SMIM35
A0A1B0GVX0	LITAFD
A0A1B0GVY2	ENSG00000283536
A0A1B0GVZ9	TMEM269
A0A1B0GW15	ENSG00000283205
A0A1B0GW54	SMIM39
A0A1B0GW55	ENSG00000284298
A0A1B0GWB2	PRRT1B
A0A1B0GWH6	LINC00672
A0A1B0GX31	TRBV7-6
A0A1B0GX49	TRBV6-4
A0A1B0GX51	TRBV7-8
A0A1B0GX56	TRDV1
A0A1B0GX68	TRBV2
A0A1B0GX78	TRBV12-5
A0A1B0GX95	TRBV7-4
A0A1B0GXF2	TRBV7-2
A0A1W2PN81	CHRNA7
A0A1W2PNU3	ENSG00000284526
A0A1W2PP81	TAF11L7
A0A1W2PPD8	KDM4F
A0A1W2PPE2	TAF11L4
A0A1W2PPE3	ENSG00000284188
A0A1W2PPG7	GNG14
A0A1W2PPH5	TAF11L13
A0A1W2PPK0	ENSG00000284484
A0A1W2PPL8	TAF11L14
A0A1W2PPM0	ENSG00000283963
A0A1W2PPW3	TAF11L12
A0A1W2PQ09	TAF11L11
A0A1W2PQ27	SSU72P7
A0A1W2PQ64	SSU72P5
A0A1W2PQC6	SSU72P4
A0A1W2PQD8	SSU72P2
A0A1W2PQF6	ENSG00000283763
A0A1W2PQJ5	SSU72P3
A0A1W2PQL4	ZNF722P
A0A1W2PQM1	ENSG00000284244
A0A1W2PQU2	KANTR
A0A1W2PR64	TAF11L9
A0A1W2PR75	SSU72P8
A0A1W2PR80	ENSG00000284434
A0A1W2PR95	ENSG00000266826
A0A1W2PRE2	ENSG00000284476
A0A1W2PRG0	ENSG00000281310
A0A1W2PRN1	ENSG00000288148
A0A1W2PRN6	LINC02218
A0A1W2PRS3	ENSG00000284169
A0A1W2PRV1	TAF11L3
A0A1W2PS18	PMIS2
A0A1Y8EI39	IGHD6-13
A0A1Y8EKQ5	IGHD6-19
A0A286YEU6	OR1R1P
A0A286YEV6	SCYGR4
A0A286YEX9	SCYGR10
A0A286YEY9	SCYGR1
A0A286YF01	SCYGR7
A0A286YF18	ENSG00000284638
A0A286YF46	SCYGR5
A0A286YF60	SCYGR3
A0A286YF77	SCYGR6
A0A286YFB4	SCYGR2
A0A286YFG1	SCYGR8
A0A2R8Y2Y2	ENSG00000226490
A0A2R8Y422	RPS27AP5
A0A2R8Y4L2	HNRNPA1P48
A0A2R8Y4L6	OR5D3P
A0A2R8Y4M2	ENSG00000284934
A0A2R8Y4M4	ENSG00000284976
A0A2R8Y4Y8	OOSP4B
A0A2R8Y556	ENSG00000284895
A0A2R8Y5M8	ENSG00000284844
A0A2R8Y747	ENSG00000284779
A0A2R8Y7D0	TINCR
A0A2R8Y7Y5	LOC729966
